cod;nome;período;valor
11;RO;1979;35
53;DF;1979;49
52;GO;1979;125
51;MT;1979;4
50;MS;1979;52
43;RS;1979;226
42;SC;1979;70
41;PR;1979;276
35;SP;1979;1061
33;RJ;1979;1203
32;ES;1979;93
31;MG;1979;404
29;BA;1979;114
28;SE;1979;21
27;AL;1979;104
26;PE;1979;346
25;PB;1979;74
24;RN;1979;40
23;CE;1979;128
22;PI;1979;12
21;MA;1979;30
17;TO;1979;0
16;AP;1979;7
15;PA;1979;127
14;RR;1979;2
13;AM;1979;80
12;AC;1979;14
53;DF;1980;67
11;RO;1980;39
12;AC;1980;14
13;AM;1980;64
14;RR;1980;3
15;PA;1980;143
16;AP;1980;6
17;TO;1980;0
21;MA;1980;34
22;PI;1980;25
23;CE;1980;181
24;RN;1980;75
25;PB;1980;106
26;PE;1980;446
27;AL;1980;112
28;SE;1980;26
29;BA;1980;112
31;MG;1980;444
32;ES;1980;113
33;RJ;1980;1531
35;SP;1980;1678
41;PR;1980;291
42;SC;1980;103
43;RS;1980;268
50;MS;1980;77
51;MT;1980;12
52;GO;1980;155
11;RO;1981;39
12;AC;1981;13
13;AM;1981;73
14;RR;1981;8
15;PA;1981;144
16;AP;1981;9
17;TO;1981;0
21;MA;1981;58
22;PI;1981;25
23;CE;1981;194
24;RN;1981;67
25;PB;1981;114
26;PE;1981;567
27;AL;1981;121
28;SE;1981;32
29;BA;1981;113
31;MG;1981;410
32;ES;1981;149
33;RJ;1981;1247
35;SP;1981;2166
41;PR;1981;323
42;SC;1981;103
43;RS;1981;298
50;MS;1981;81
51;MT;1981;33
52;GO;1981;211
53;DF;1981;71
27;AL;1982;152
11;RO;1982;26
12;AC;1982;16
13;AM;1982;68
14;RR;1982;10
15;PA;1982;150
16;AP;1982;9
17;TO;1982;0
21;MA;1982;60
22;PI;1982;32
23;CE;1982;200
24;RN;1982;85
25;PB;1982;100
26;PE;1982;601
28;SE;1982;35
29;BA;1982;164
31;MG;1982;395
32;ES;1982;138
33;RJ;1982;1088
35;SP;1982;2076
41;PR;1982;404
42;SC;1982;83
43;RS;1982;305
50;MS;1982;93
51;MT;1982;17
52;GO;1982;211
53;DF;1982;98
11;RO;1983;42
53;DF;1983;90
52;GO;1983;216
51;MT;1983;41
50;MS;1983;101
43;RS;1983;293
42;SC;1983;102
41;PR;1983;398
35;SP;1983;2916
33;RJ;1983;874
32;ES;1983;135
31;MG;1983;319
29;BA;1983;126
28;SE;1983;34
27;AL;1983;203
26;PE;1983;699
25;PB;1983;137
24;RN;1983;62
23;CE;1983;263
22;PI;1983;38
21;MA;1983;53
17;TO;1983;0
16;AP;1983;19
15;PA;1983;211
14;RR;1983;8
13;AM;1983;84
12;AC;1983;16
53;DF;1984;77
11;RO;1984;80
12;AC;1984;13
13;AM;1984;110
14;RR;1984;9
15;PA;1984;212
16;AP;1984;14
17;TO;1984;0
21;MA;1984;62
22;PI;1984;34
23;CE;1984;274
24;RN;1984;62
25;PB;1984;135
26;PE;1984;801
27;AL;1984;185
28;SE;1984;16
29;BA;1984;186
31;MG;1984;379
32;ES;1984;143
33;RJ;1984;1145
35;SP;1984;3789
41;PR;1984;429
42;SC;1984;102
43;RS;1984;305
50;MS;1984;126
51;MT;1984;57
52;GO;1984;176
11;RO;1985;104
53;DF;1985;131
52;GO;1985;187
51;MT;1985;81
50;MS;1985;92
43;RS;1985;283
42;SC;1985;103
41;PR;1985;338
35;SP;1985;3883
33;RJ;1985;1277
32;ES;1985;168
31;MG;1985;384
29;BA;1985;216
28;SE;1985;22
27;AL;1985;173
26;PE;1985;930
25;PB;1985;160
24;RN;1985;62
23;CE;1985;221
22;PI;1985;22
