cod;nome;período;valor
26;PE;1999;2198
52;GO;1999;321
51;MT;1999;229
50;MS;1999;183
43;RS;1999;713
42;SC;1999;108
41;PR;1999;640
25;PB;1999;142
24;RN;1999;64
23;CE;1999;279
22;PI;1999;36
21;MA;1999;52
17;TO;1999;41
16;AP;1999;41
15;PA;1999;184
12;AC;1999;6
53;DF;1999;317
14;RR;1999;37
13;AM;1999;142
11;RO;1999;133
33;RJ;1999;3386
26;PE;2000;2215
11;RO;2000;132
12;AC;2000;24
14;RR;2000;29
15;PA;2000;258
16;AP;2000;25
17;TO;2000;62
21;MA;2000;67
23;CE;2000;356
41;PR;2000;686
42;SC;2000;132
43;RS;2000;755
50;MS;2000;271
51;MT;2000;342
52;GO;2000;442
53;DF;2000;346
35;SP;2000;6206
33;RJ;2000;3496
32;ES;2000;583
31;MG;2000;947
29;BA;2000;458
28;SE;2000;162
27;AL;2000;279
25;PB;2000;228
24;RN;2000;83
22;PI;2000;57
13;AM;2000;166
22;PI;2001;77
31;MG;2001;1009
29;BA;2001;717
28;SE;2001;230
27;AL;2001;377
26;PE;2001;2463
33;RJ;2001;3542
35;SP;2001;6736
41;PR;2001;798
11;RO;2001;163
12;AC;2001;41
13;AM;2001;132
14;RR;2001;23
42;SC;2001;177
15;PA;2001;299
16;AP;2001;21
17;TO;2001;66
21;MA;2001;124
43;RS;2001;803
50;MS;2001;202
51;MT;2001;300
52;GO;2001;448
53;DF;2001;378
32;ES;2001;615
25;PB;2001;215
24;RN;2001;114
23;CE;2001;368
21;MA;2002;124
53;DF;2002;347
52;GO;2002;552
51;MT;2002;288
50;MS;2002;216
43;RS;2002;850
42;SC;2002;201
41;PR;2002;981
35;SP;2002;6186
33;RJ;2002;3936
32;ES;2002;766
31;MG;2002;1294
29;BA;2002;792
28;SE;2002;256
27;AL;2002;440
26;PE;2002;2292
25;PB;2002;233
24;RN;2002;104
23;CE;2002;453
22;PI;2002;74
17;TO;2002;47
16;AP;2002;30
15;PA;2002;382
14;RR;2002;24
13;AM;2002;123
12;AC;2002;42
11;RO;2002;185
32;ES;2003;706
31;MG;2003;1869
29;BA;2003;1026
28;SE;2003;207
27;AL;2003;477
26;PE;2003;2314
25;PB;2003;263
24;RN;2003;160
23;CE;2003;472
22;PI;2003;92
21;MA;2003;182
13;AM;2003;116
14;RR;2003;17
15;PA;2003;469
16;AP;2003;55
17;TO;2003;56
11;RO;2003;159
12;AC;2003;35
53;DF;2003;386
52;GO;2003;551
51;MT;2003;296
50;MS;2003;253
43;RS;2003;840
42;SC;2003;242
41;PR;2003;1137
35;SP;2003;6345
33;RJ;2003;3929
21;MA;2004;198
53;DF;2004;368
22;PI;2004;96
17;TO;2004;50
16;AP;2004;51
15;PA;2004;549
14;RR;2004;20
13;AM;2004;145
12;AC;2004;38
11;RO;2004;177
35;SP;2004;4938
33;RJ;2004;3888
32;ES;2004;768
31;MG;2004;2201
28;SE;2004;167
27;AL;2004;486
26;PE;2004;2137
42;SC;2004;225
