cod;nome;período;valor
53;DF;1985;12
28;SE;1986;5
53;DF;1986;16
52;GO;1986;32
51;MT;1986;15
50;MS;1986;16
43;RS;1986;31
42;SC;1986;5
41;PR;1986;36
35;SP;1986;277
33;RJ;1986;90
32;ES;1986;22
31;MG;1986;54
29;BA;1986;28
27;AL;1986;19
26;PE;1986;64
25;PB;1986;29
24;RN;1986;1
23;CE;1986;27
22;PI;1986;2
21;MA;1986;8
17;TO;1986;0
16;AP;1986;2
15;PA;1986;28
14;RR;1986;1
13;AM;1986;5
12;AC;1986;2
11;RO;1986;11
14;RR;1987;2
15;PA;1987;22
16;AP;1987;4
17;TO;1987;0
21;MA;1987;5
22;PI;1987;1
23;CE;1987;14
24;RN;1987;5
25;PB;1987;21
26;PE;1987;65
27;AL;1987;29
28;SE;1987;1
11;RO;1987;14
29;BA;1987;21
31;MG;1987;56
32;ES;1987;21
33;RJ;1987;96
35;SP;1987;287
41;PR;1987;46
42;SC;1987;15
43;RS;1987;34
50;MS;1987;12
51;MT;1987;14
13;AM;1987;9
52;GO;1987;42
53;DF;1987;19
12;AC;1987;9
50;MS;1988;12
11;RO;1988;21
12;AC;1988;3
13;AM;1988;15
14;RR;1988;5
15;PA;1988;25
16;AP;1988;0
17;TO;1988;0
21;MA;1988;7
22;PI;1988;4
23;CE;1988;16
24;RN;1988;8
25;PB;1988;25
26;PE;1988;62
27;AL;1988;24
28;SE;1988;2
29;BA;1988;35
31;MG;1988;60
32;ES;1988;32
33;RJ;1988;91
35;SP;1988;277
41;PR;1988;51
42;SC;1988;17
43;RS;1988;45
51;MT;1988;9
52;GO;1988;41
53;DF;1988;11
12;AC;1989;4
13;AM;1989;20
14;RR;1989;8
15;PA;1989;27
16;AP;1989;2
17;TO;1989;7
21;MA;1989;13
22;PI;1989;8
23;CE;1989;13
24;RN;1989;5
25;PB;1989;24
26;PE;1989;90
27;AL;1989;29
28;SE;1989;5
29;BA;1989;46
31;MG;1989;67
32;ES;1989;29
33;RJ;1989;140
35;SP;1989;336
41;PR;1989;45
42;SC;1989;15
43;RS;1989;62
50;MS;1989;21
51;MT;1989;15
52;GO;1989;41
53;DF;1989;8
11;RO;1989;27
28;SE;1990;8
11;RO;1990;21
12;AC;1990;4
13;AM;1990;14
14;RR;1990;11
15;PA;1990;39
16;AP;1990;3
17;TO;1990;3
21;MA;1990;17
22;PI;1990;2
23;CE;1990;23
24;RN;1990;7
25;PB;1990;13
26;PE;1990;101
27;AL;1990;20
29;BA;1990;30
31;MG;1990;63
32;ES;1990;40
33;RJ;1990;215
35;SP;1990;340
41;PR;1990;54
42;SC;1990;18
43;RS;1990;60
50;MS;1990;19
51;MT;1990;16
52;GO;1990;32
53;DF;1990;17
14;RR;1991;5
15;PA;1991;36
16;AP;1991;2
17;TO;1991;3
21;MA;1991;27
22;PI;1991;6
23;CE;1991;22
24;RN;1991;9
25;PB;1991;13
26;PE;1991;100
27;AL;1991;19
28;SE;1991;13
29;BA;1991;29
31;MG;1991;60
32;ES;1991;36
33;RJ;1991;154
35;SP;1991;374
41;PR;1991;60
42;SC;1991;16
43;RS;1991;68
50;MS;1991;24
51;MT;1991;26
52;GO;1991;51
12;AC;1991;6
53;DF;1991;21
13;AM;1991;10
11;RO;1991;11
51;MT;1992;17
11;RO;1992;19
12;AC;1992;10
13;AM;1992;8
14;RR;1992;4
15;PA;1992;27
16;AP;1992;2
17;TO;1992;2
21;MA;1992;13
22;PI;1992;4
23;CE;1992;20
24;RN;1992;7
25;PB;1992;15
26;PE;1992;75
27;AL;1992;24
28;SE;1992;9
29;BA;1992;36
31;MG;1992;62
32;ES;1992;39
33;RJ;1992;125
35;SP;1992;283
41;PR;1992;42
42;SC;1992;12
43;RS;1992;62
50;MS;1992;28
52;GO;1992;52
53;DF;1992;14
11;RO;1993;23
12;AC;1993;3
13;AM;1993;17
14;RR;1993;3
15;PA;1993;21
16;AP;1993;2
17;TO;1993;7
21;MA;1993;15
22;PI;1993;8
23;CE;1993;30
24;RN;1993;9
25;PB;1993;10
26;PE;1993;96
53;DF;1993;23
27;AL;1993;15
28;SE;1993;8
29;BA;1993;46
31;MG;1993;61
32;ES;1993;50
33;RJ;1993;124
35;SP;1993;325
41;PR;1993;62
42;SC;1993;13
43;RS;1993;49
50;MS;1993;14
51;MT;1993;20
52;GO;1993;51
14;RR;1994;2
11;RO;1994;16
12;AC;1994;5
13;AM;1994;13
15;PA;1994;29
16;AP;1994;6
17;TO;1994;8
21;MA;1994;6
22;PI;1994;5
23;CE;1994;22
24;RN;1994;7
25;PB;1994;9
26;PE;1994;80
27;AL;1994;21
28;SE;1994;14
29;BA;1994;82
